url,title,author,type,insertionDate,refreshNB,watchTime,actionNB,videoViewsNB,parent_id,parti,Unnamed: 11,ED,EG,G,D,C,P,EU,O
x5tx85IJWFQ,"
          
          
          
          
            Dissolution : Marion Maréchal accuse Bardella de mentir aux Français
          
        ",Public Sénat,proposal,2024-05-08T22:42:20.459Z,,0,2,3,OY2WvPg35-Y,ED,,1,0,0,0,0,1,1,0
xyH_MRJ1C0s,"
          
          
          
          
            Débat présidentiel 2012 : François Hollande - Nicolas Sarkozy | Archive INA
          
        ",INA Politique,proposal,2024-05-08T22:42:20.465Z,,0,2,3,OY2WvPg35-Y,P,,0,0,0,0,0,1,0,0
WIW0f6yvVw0,"
          
          
          
          
            Poutine, la haine de lOccident
          
        ",BFMTV,proposal,2024-05-08T22:42:20.472Z,,0,2,3,OY2WvPg35-Y,P,,0,0,0,0,0,1,0,0
sMvdPrGxWuw,"
          
          
          
          
            Dieudonné La politique  (La Polémique de la polinique) 2017
          
        ",Ermite Pas net,proposal,2024-05-08T22:42:20.478Z,,0,2,3,OY2WvPg35-Y,P,,0,0,0,0,0,1,0,0
r_NwGvla7eQ,"
          
          
          
          
            Lhistoire complète et sans censure de TCHERNOBYL
          
        ",100% DOCS,proposal,2024-05-08T22:42:20.484Z,,0,2,3,OY2WvPg35-Y,O,,0,0,0,0,0,0,0,1
W3I7XpGXTHE,"
          
          
          
          
            La F****ing Disgrace décryptée par Drogba – Chelsea FC vs. Barcelone 2009 – Ligue des Champions
          
        ",CANAL+ Sport,proposal,2024-05-08T22:42:20.490Z,,0,2,3,OY2WvPg35-Y,O,,0,0,0,0,0,0,0,1
4XUGUe1lWqw,"
          
          
          
          
            Pablo Escobar: the king of cocaine
          
        ",Investigations et Enquêtes,proposal,2024-05-08T22:42:20.496Z,,0,2,3,OY2WvPg35-Y,O,,0,0,0,0,0,0,0,1
TmIVC9AGTuo,Jordan Bardella : LEurope doit mettre fin à une forme de naïveté à légard de la mondialisation,France Inter,regular,2024-05-08T22:45:22.495Z,,180000,3,4,,ED,,1,0,0,0,0,1,1,0
Vl1QApX8--E,"
          
          
          
          
            Grand jury - Européennes 2024 : le grand débat | Évènement - 05/05/2024
          
        ",LCP - Assemblée nationale,proposal,2024-05-08T22:45:23.544Z,,0,3,4,TmIVC9AGTuo,ED,,0,0,0,0,0,1,1,0
tkFAzDwQGus,"
          
          
          
          
            Élections européennes : le débat entre Marion Maréchal (Reconquête) et Valérie Hayer (Renaissance)
          
        ",Europe 1,proposal,2024-05-08T22:45:23.558Z,,0,3,4,TmIVC9AGTuo,ED,,1,0,0,0,1,1,1,0
2237v_tTvsQ,"
          
          
          
          
            International : que pèse encore la France ?
          
        ",Public Sénat,proposal,2024-05-08T22:45:23.564Z,,0,3,4,TmIVC9AGTuo,P,,0,0,0,0,0,0,0,1
q9GAahkTLME,"
          
          
          
          
            Mineurs délinquants, Russie, Sciences Po… lintégralité de linterview de Marine Le Pen
          
        ",BFMTV,proposal,2024-05-08T22:45:23.573Z,,0,3,4,TmIVC9AGTuo,ED,,1,0,0,0,0,1,0,0
oOdXYFGohf0,"
          
          
          
          
            Jordan Bardella répond à Eric Dupond-Moretti sur le tacle à Marine Le Pen !
          
        ",Touche pas à mon poste !,proposal,2024-05-08T22:45:23.580Z,,0,3,4,TmIVC9AGTuo,ED,,1,0,0,0,1,1,1,0
4Kftid4ouA0,"
          
          
          
          
            Corée du Nord, Gérard Depardieu, Sciences Po... Yann Moix est linvité du Face à Face
          
        ",BFMTV,proposal,2024-05-08T22:45:23.586Z,,0,3,4,TmIVC9AGTuo,P,,0,0,0,0,0,1,0,0
HR_UZhz9dwQ,"
          
          
          
          
            Européennes: Bardella a-t-il tué le match ?
          
        ",Le Figaro,proposal,2024-05-08T22:45:23.592Z,,0,3,4,TmIVC9AGTuo,ED,,1,0,0,0,0,1,1,0
l4sgGLnIcwo,"
          
          
          
          
            Européennes: suivez le grand débat entre Jordan Bardella et Manuel Valls
          
        ",Le Figaro,proposal,2024-05-08T22:45:23.598Z,,0,3,4,TmIVC9AGTuo,ED,,1,0,1,0,0,1,1,0
OdCvq3ViEsM,"
          
          
          
          
            Mathilde Panot/Marion Maréchal, le débat
          
        ",BFMTV,proposal,2024-05-08T22:45:23.603Z,,0,3,4,TmIVC9AGTuo,ED,,1,1,0,0,0,1,0,0
mw4L2xmEtS8,"
          
          
          
          
            Jordan Bardella face à Pascal Praud : Drame de Crépol, traitement médiatique, vie privée...
          
        ",Europe 1,proposal,2024-05-08T22:45:23.608Z,,0,3,4,TmIVC9AGTuo,ED,,1,0,0,0,0,1,1,0
elgTG9oDiJY,"
          
          
          
          
            Replay du débat dEmmanuel Macron et Marine Le Pen, en intégrale
          
        ",TF1 INFO,proposal,2024-05-08T22:45:23.615Z,,0,3,4,TmIVC9AGTuo,ED,,1,0,0,0,1,1,0,0
pPhh1477rrQ,"
          
          
          
          
            Découvrez lintégrale des déclarations à la presse dEmmanuel Macron et Xi Jinping
          
        ",BFMTV,proposal,2024-05-08T22:45:23.621Z,,0,3,4,TmIVC9AGTuo,C,,0,0,0,0,1,1,0,0
vPY715WtPlc,"
          
          
          
          
            Clémence Guetté dénonce le climat actuel de censure et de répression
          
        ",France Inter,proposal,2024-05-08T22:45:23.626Z,,0,3,4,TmIVC9AGTuo,P,,0,0,0,0,0,0,0,1
2eRsM9vS8hw,"
          
          
          
          
            Le Grand Jury - Européennes : le grand débat (lintégrale)
          
        ",RTL,proposal,2024-05-08T22:45:23.632Z,,0,3,4,TmIVC9AGTuo,EU,,0,0,0,0,0,1,1,0
ghaGA3ZrvmU,"
          
          
          
          
            Le débat des européennes, avec Jordan Bardella et Raphaël Glucksmann
          
        ",France Inter,proposal,2024-05-08T22:45:23.649Z,,0,3,4,TmIVC9AGTuo,ED,,1,0,1,0,0,1,1,0
iOAbBdlWgz0,"
          
          
          
          
            REPLAY - Débat de lentre-deux-tours : Marine Le Pen / Emmanuel Macron
          
        ",LCI,proposal,2024-05-08T22:45:23.660Z,,0,3,4,TmIVC9AGTuo,ED,,1,0,0,0,1,1,0,0
x5tx85IJWFQ,"
          
          
          
          
            Dissolution : Marion Maréchal accuse Bardella de mentir aux Français
          
        ",Public Sénat,proposal,2024-05-08T22:45:23.666Z,,0,3,4,TmIVC9AGTuo,ED,,1,0,0,0,0,1,1,0
70_vcb0EQtk,"
          
          
          
          
            🔴 DIRECT - Lintégrale de linterview de Jordan Bardella, président du RN, sur RMC
          
        ",RMC,proposal,2024-05-08T22:45:23.671Z,,0,3,4,TmIVC9AGTuo,ED,,1,0,0,0,0,1,1,0
I0sVnSTBk2U,"
          
          
          
          
            Le résumé de Real Madrid / Bayern Munich - Ligue des Champions 2023-24 (1/2 finale retour)
          
        ",CANAL+ Sport,proposal,2024-05-08T22:45:23.678Z,,0,3,4,TmIVC9AGTuo,O,,0,0,0,0,0,0,0,1
Vx3KVIGeML8,"
          
          
          
          
            Attentat déjoué : comment le FSB voulait tuer Zelensky
          
        ",LCI,proposal,2024-05-08T22:45:23.685Z,,0,3,4,TmIVC9AGTuo,P,,0,0,0,0,0,1,0,0
OrPBJyDvp2w,Lunion fait la France !,Jordan Bardella,regular,2024-05-08T22:48:27.377Z,,180000,4,5,,ED,,1,0,0,0,0,1,1,0
elgTG9oDiJY,"
          
          
          
          
            Replay du débat dEmmanuel Macron et Marine Le Pen, en intégrale
          
        ",TF1 INFO,proposal,2024-05-08T22:48:28.317Z,,0,4,5,OrPBJyDvp2w,ED,,1,0,0,0,1,1,0,0
131CcyG4b5U,"
          
          
          
          
            Mélenchon-Zemmour: revoir leur débat en intégralité
          
        ",BFMTV,proposal,2024-05-08T22:48:28.400Z,,0,4,5,OrPBJyDvp2w,ED,,1,1,0,0,0,1,0,0
l4sgGLnIcwo,"
          
          
          
          
            Européennes: suivez le grand débat entre Jordan Bardella et Manuel Valls
          
        ",Le Figaro,proposal,2024-05-08T22:48:28.407Z,,0,4,5,OrPBJyDvp2w,ED,,1,0,1,0,0,1,1,0
5ddvpTnRFt0,"
          
          
          
          
            Comment expliquer le succès du RN ? L’analyse d’Arnaud Benedetti
          
        ",Le Figaro,proposal,2024-05-08T22:48:28.413Z,,0,4,5,OrPBJyDvp2w,ED,,1,0,0,0,0,1,0,0
Vl1QApX8--E,"
          
          
          
          
            Grand jury - Européennes 2024 : le grand débat | Évènement - 05/05/2024
          
        ",LCP - Assemblée nationale,proposal,2024-05-08T22:48:28.418Z,,0,4,5,OrPBJyDvp2w,EU,,0,0,0,0,0,1,1,0
iOAbBdlWgz0,"
          
          
          
          
            REPLAY - Débat de lentre-deux-tours : Marine Le Pen / Emmanuel Macron
          
        ",LCI,proposal,2024-05-08T22:48:28.422Z,,0,4,5,OrPBJyDvp2w,ED,,1,0,0,0,1,1,0,0
sqc42YnwmDE,"
          
          
          
          
            Grand Oral de Jordan Bardella tête de liste RN
          
        ",Les Éveilleurs,proposal,2024-05-08T22:48:28.427Z,,0,4,5,OrPBJyDvp2w,ED,,1,0,0,0,0,1,1,0
mbxtT0Kk-Pw,"
          
          
          
          
            “Crépol: une France qui bascule?”: linterview de Jordan Bardella en intégralité
          
        ",BFMTV,proposal,2024-05-08T22:48:28.433Z,,0,4,5,OrPBJyDvp2w,ED,,1,0,0,0,0,1,1,0
BuvmS79bKic,"
          
          
          
          
            Le temps de la dispersion des voix est derrière nous: linterview de Jordan Bardella
          
        ",BFMTV,proposal,2024-05-08T22:48:28.439Z,,0,4,5,OrPBJyDvp2w,ED,,1,0,0,0,0,1,1,0
HR_UZhz9dwQ,"
          
          
          
          
            Européennes: Bardella a-t-il tué le match ?
          
        ",Le Figaro,proposal,2024-05-08T22:48:28.447Z,,0,4,5,OrPBJyDvp2w,ED,,1,0,0,0,0,1,1,0
x5tx85IJWFQ,"
          
          
          
          
            Dissolution : Marion Maréchal accuse Bardella de mentir aux Français
          
        ",Public Sénat,proposal,2024-05-08T22:48:28.453Z,,0,4,5,OrPBJyDvp2w,ED,,1,0,0,0,0,1,1,0
r_vuQFodEys,"
          
          
          
          
            EUROPÉENNES : LA NUPES EST-ELLE MORTE ET ENTERRÉE ?
          
        ","BLAST, Le souffle de linfo",proposal,2024-05-08T22:48:28.460Z,,0,4,5,OrPBJyDvp2w,EG,,0,1,0,0,0,1,1,0
HK_BOmD46FI,"
          
          
          
          
            Les 4 vérités - Jordan Bardella
          
        ",Télé Matin,proposal,2024-05-08T22:48:28.466Z,,0,4,5,OrPBJyDvp2w,ED,,1,0,0,0,0,1,1,0
jVbGnJ3zniU,"
          
          
          
          
            Linterview intégrale du philosophe Michel Onfray sur RMC
          
        ",RMC,proposal,2024-05-08T22:48:28.470Z,,0,4,5,OrPBJyDvp2w,P,,0,0,0,0,0,0,0,1
ZnDqxkNIAJs,"
          
          
          
          
            Léchange tendu entre Gérald Darmanin et Jordan Bardella sur le droit dasile
          
        ",BFMTV,proposal,2024-05-08T22:48:28.475Z,,0,4,5,OrPBJyDvp2w,ED,,1,0,0,0,0,1,1,0
GjMQrf8weUE,"
          
          
          
          
            Jordan Bardella et la vraie-fausse dédiabolisation du RN ? - #QuelleEpoque 17 décembre
          
        ",Quelle époque !,proposal,2024-05-08T22:48:28.480Z,,0,4,5,OrPBJyDvp2w,ED,,1,0,0,0,0,1,1,0
ghaGA3ZrvmU,"
          
          
          
          
            Le débat des européennes, avec Jordan Bardella et Raphaël Glucksmann
          
        ",France Inter,proposal,2024-05-08T22:48:28.484Z,,0,4,5,OrPBJyDvp2w,ED,,1,0,1,0,0,1,1,0
xSFBZ8TDO34,"
          
          
          
          
            Quand Marine Le Pen pleurait de rire devant les imitations de Nicolas Canteloup
          
        ",Europe 1,proposal,2024-05-08T22:48:28.488Z,,0,4,5,OrPBJyDvp2w,ED,,1,0,0,0,0,1,1,0
VjILoreoNco,"
          
          
          
          
            Jordan Bardella IMPLACABLE sur linsécurité ! | Apolline Matin
          
        ",Apolline Matin,proposal,2024-05-08T22:48:28.492Z,,0,4,5,OrPBJyDvp2w,ED,,1,0,0,0,0,1,1,0
oQpryKlWYjY,"
          
          
          
          
            Débat G. Attal / J. Bardella - Replay du 20H de TF1
          
        ",TF1 INFO,proposal,2024-05-08T22:48:28.500Z,,0,4,5,OrPBJyDvp2w,ED,,1,0,0,0,1,1,1,0
VjILoreoNco,Jordan Bardella IMPLACABLE sur linsécurité ! | Apolline Matin,Apolline Matin,regular,2024-05-08T22:51:32.259Z,,180000,5,6,,ED,,1,0,0,0,0,1,1,0
OY2WvPg35-Y,"
          
          
          
          
            Européennes: le premier débat entre Jordan Bardella et Valérie Hayer en intégralité
          
        ",BFMTV,proposal,2024-05-08T22:51:33.267Z,,0,5,6,VjILoreoNco,ED,,1,0,0,0,1,1,1,0
q9GAahkTLME,"
          
          
          
          
            Mineurs délinquants, Russie, Sciences Po… lintégralité de linterview de Marine Le Pen
          
        ",BFMTV,proposal,2024-05-08T22:51:33.386Z,,0,5,6,VjILoreoNco,ED,,1,0,0,0,0,1,0,0
x5tx85IJWFQ,"
          
          
          
          
            Dissolution : Marion Maréchal accuse Bardella de mentir aux Français
          
        ",Public Sénat,proposal,2024-05-08T22:51:33.392Z,,0,5,6,VjILoreoNco,ED,,1,0,0,0,0,1,1,0
qJ_J4UcECiw,"
          
          
          
          
            🔴 EN DIRECT - Jordan Bardella face aux Grandes Gueules !
          
        ",RMC,proposal,2024-05-08T22:51:33.397Z,,0,5,6,VjILoreoNco,ED,,1,0,0,0,0,1,1,0
mbxtT0Kk-Pw,"
          
          
          
          
            “Crépol: une France qui bascule?”: linterview de Jordan Bardella en intégralité
          
        ",BFMTV,proposal,2024-05-08T22:51:33.403Z,,0,5,6,VjILoreoNco,ED,,1,0,0,0,0,1,1,0
