name,author,ED,EG,D,G,C,P,EU,O
Européennes : la percée Glucksmann - Reportage #cdanslair 16.04.2024,Le Figaro,0,0,0,1,0,1,1,0
"L échappée Bardella, la remontada Glucksmann - Reportage #cdanslair",LCI,1,0,0,1,0,1,1,0
Élections européennes - Raphaël Glucksmann est-il le candidat qui inquiète Emmanuel Macron ?,Europe 1,0,0,0,1,0,1,1,0
EUROPÉENNES : A QUOI SERT GLUCKSMANN ?,Télé Matin,0,0,0,1,0,1,1,0
Qui a peur de Raphaël Glucksmann ?,Le Figaro,0,0,0,1,0,1,1,0
Raphaël Glucksmann: Nous voulons apporter un grand plan de financement pour cette transition,France Inter,0,0,0,1,0,1,1,0
"Européennes: Raphaël Glucksmann, le candidat qui inquiète la macronie",Le Figaro,0,0,0,1,0,1,1,0
Réveillez l Europe : Raphaël Glucksmann entre dans la course aux Européennes • FRANCE 24,BFMTV,0,0,0,1,0,1,1,0
La mise en garde glaçante de Raphaël Glucksmann ! | Apolline Matin,RMC,0,0,0,1,0,1,1,0
Raphaël Glucksmann/CNews : Des gens ont rehaussé les murs (Joseph Macé-Scaron),Le Figaro,0,0,0,1,0,1,1,0
"Delors est mort, vive Glucksmann ! le malentendu social-démocrate sur l’Europe",Public Sénat,0,0,0,1,0,1,1,0
"Ruffin/Glucksmann, 2 gauches irréconciliables ? - Alexis Lacroix",Public Sénat,0,0,0,1,0,1,1,0
"Exfiltré d’un défilé du 1er mai, Raphaël Glucksmann réagit  - C à Vous",Le Figaro,0,0,0,1,0,1,1,0
"Xi Jinping n est pas notre ami, explique Raphaël Glucksmann",BFMTV,0,0,0,1,0,1,1,0
Demain l Europe avec Raphaël Glucksmann,Le Figaro,0,0,0,1,0,1,1,0
Les 4 vérités - Raphaël Glucksmann,Le Figaro,0,0,0,1,0,1,1,0
VLOG : dans les coulisses du Parlement européen,Raphaël Glucksmann,0,0,0,1,0,1,1,0
LES 5 LIVRES QUI ONT MARQUÉ MA VIE,Raphaël Glucksmann,0,0,0,1,0,1,1,0
RAPHAËL GLUCKSMANN : UN AUTRE MACRON EST POSSIBLE,Raphaël Glucksmann,0,0,0,1,0,1,1,0
L UNION EUROPÉENNE S EST COUCHÉE DEVANT LES LABOS PHARMACEUTIQUES,Manon Aubry,0,1,0,0,0,1,1,0
LA RÉACTION D EMMANUEL MACRON EST CELLE D UN ENFANT GÂTÉ - Manon Aubry,Manon Aubry,0,1,0,0,0,1,1,0
MÉLENCHON AU SECOND TOUR POUR CHANGER L HISTOIRE,Manon Aubry,0,1,0,0,0,1,1,0
NOUS PROPOSONS UNE ALLOCATION D AUTONOMIE POUR TOUS LES JEUNES !,Manon Aubry,0,1,0,0,0,1,1,0
"GLUCKSMANN CHAHUTÉ, MÉLENCHON ACCUSÉ : IL Y A T-IL « DEUX GAUCHES »IRRÉCONCILIABLES ?",Le média,0,1,0,0,0,1,1,0
BARDELLA EST LE LARBIN DES PATRONS,Manon Aubry,0,1,0,0,0,1,1,0
MACRON NE PEUT PLUS METTRE UN PIED DEHORS !,Manon Aubry,0,1,0,0,0,1,1,0
MACRON NE POURRA PAS INTERDIRE LA COLERE POPULAIRE,Manon Aubry,0,1,0,0,0,1,1,0
"LES DRÔLES LEÇONS DE DÉMOCRATIE D ÉLISABETH BORNE, LA PRO DU 49.3",Manon Aubry,0,1,0,0,0,1,1,0
VIOLENCES POLICIERES EN FRANCE : LE MONDE ENTIER CONDAMNE LA REPRESSION,Manon Aubry,0,1,0,0,0,1,1,0
EVASION FISCALE EN BANDE ORGANISEE PERSONNE NE VEUT LA CANALISER,Manon Aubry,0,1,0,0,0,1,1,0
MACRON EST ISOLÉ : IL EST RETRANCHÉ À L ÉLYSÉE COMME UN FORCENÉ !,Manon Aubry,0,1,0,0,0,1,1,0
"MACRON VA PERDRE, TOUS DANS LA RUE LE 1er MAI !",Manon Aubry,0,1,0,0,0,1,1,0
MACRON EST DETESTE DANS LE PAYS !,Manon Aubry,0,1,0,0,0,1,1,0
LES MENSONGES DE LREM CONTRE LA NUPES DÉMONTÉS,Manon Aubry,0,1,0,0,0,1,1,0
LES FACTURES FLAMBENT ET L UE REGARDE AILLEURS,Manon Aubry,0,1,0,0,0,1,1,0
STOP AU MASSACRE A GAZA !,Manon Aubry,0,1,0,0,0,1,1,0
"POUR MACRON, UNE RELATION NON CONSENTIE N EST PAS UN VIOL !",Manon Aubry,0,1,0,0,0,1,1,0
Gaspard Proust face à Manon Aubry,Le Figaro,0,1,0,0,0,1,1,0
"Face à Manon Aubry, Macron prend une charge en plein Parlement européen",Le Figaro,0,1,0,0,0,1,1,0
20 000 civils Pascal Praud ! : Manon Aubry revient sur la position de LFI sur le conflit en Israël,Le Figaro,0,1,0,0,0,1,1,0
"Manon Aubry face à Pascal Praud : Bardella, Bellamy, macronistes...Marre de tous ces hypocrites !",BFMTV,1,1,0,0,0,1,1,0
Manon Aubry : Rapprocher le RN et la FI est extrêmement dangereux pour la démocratie,Le Figaro,0,1,0,0,0,1,1,0
Manon Aubry - Députée européenne LFI - Les 4 vérités - 6/05/2022,Public Sénat,0,1,0,0,0,1,1,0
"Manon Aubry: Au pouvoir, la FI appliquera son programme contre les règles européennes",Le Figaro,0,1,0,0,0,1,1,0
Soupçons de corruption du Qatar au Parlement européen: l eurodéputée LFI Manon Aubry réagit,BFMTV,0,1,0,0,0,1,1,0
Manon Aubry (LFI): Nous sommes les seuls à nous mobiliser contre la politique de racket social,RTL,0,1,0,0,0,1,1,0
Manon Aubry : L adhésion à l UE d un pays en guerre comme l Ukraine n est pas réaliste,Public Sénat,0,1,0,0,0,1,1,0
Manon Aubry - Il n y a aucune transparence sur les contrats signés avec les laboratoires !,TF1 INFO,0,1,0,0,0,1,1,0
Scandale européen : la banque centrale gave Bernard Arnault - Entretien avec Manon Aubry,TF1 INFO,0,1,0,0,0,1,1,0
Manon Aubry : J encourage les étudiants qui se mobilisent pour Gaza,BFMTV,0,1,0,0,0,1,1,0
"L entretien RMC avec Manon Aubry, députée européenne LFI",Le Figaro,0,1,0,0,0,1,1,0
Manon Aubry (LFI) sur Taiwan : Mélenchon n a fait qu une chose : rappeler la position de la France,BFMTV,0,1,0,0,0,1,1,0
L interview politique du 4 novembre 2019 : Manon Aubry,RTL,0,1,0,0,0,1,1,0
"Manon Aubry, tête de liste LFI et députée européenne",RTL,0,1,0,0,0,1,1,0
Le Grand Jury des Auditeurs de RTL : Manon Aubry,BFMTV,0,1,0,0,0,1,1,0
Quel président ? François-Xavier Bellamy répond,LCI,0,0,1,0,0,1,1,0
François-Xavier Bellamy : L erreur du moment est de croire que tout changement est un progrès,TF1 INFO,0,0,1,0,0,1,1,0
Lutte contre l immigration illégale : Un scandale démocratique révoltant,François-Xavier Bellamy,0,0,1,0,0,1,1,0
François-Xavier Bellamy à l Université Libé : Le Grand Oral des européennes,Le Figaro,0,0,1,0,0,1,1,0
Loi Avia et application de traçage : « Jamais notre pays ne devrait renoncer aux garanties fondam…,François-Xavier Bellamy,0,0,1,0,0,1,1,0
Le Grand Oral de François-Xavier Bellamy - Les Grandes Gueules de RMC,Le Figaro,0,0,1,0,0,1,1,0
Les élections européennes pourraient BOULEVERSER le quotidien des Français !,François-Xavier Bellamy,0,0,1,0,0,1,1,0
"François-Xavier Bellamy: Moi, je crois au libre-échange",Le Figaro,0,0,1,0,0,1,1,0
François-Xavier Bellamy: Je crois qu on ne peut pas faire de la croissance un but politique en soi,Public Sénat,0,0,1,0,0,1,1,0
"François-Xavier Bellamy:l affaire de Rugy, résultat du contraste entre son discours et sa pratique",Le Figaro,0,0,1,0,0,1,1,0
Gilles piège François-Xavier Bellamy avec une question FATIDIQUE,RMC,0,0,0,0,0,1,1,0
Élections européennes: le débat entre Raphaël Glucksmann et François-Xavier Bellamy en intégralité,RMC,0,0,1,1,0,1,1,0
François-Xavier Bellamy / Gaspard Koenig : La liberté est-elle en danger ?,LCI,0,0,1,0,0,1,1,0
"#LeGrandOral des candidats : Jordan BARDELLA, Marion MARÉCHAL, F-X BELLAMY",Le Figaro,1,0,1,0,0,1,1,0
Sur les traces de François-Xavier Bellamy dans le quartier de Rachida Dati - Le Moment Meurice,Le Figaro,0,0,1,0,0,1,1,0
François-Xavier Bellamy : Le président se réfugie dans les questions de société pour faire l actu,Touche pas à mon poste !,0,0,1,0,0,1,1,0
François-Xavier Bellamy : Quelles sont les qualités de Gabriel Attal pour entrer à Matignon ?,Le Figaro,0,0,1,0,0,1,1,0
EUROPÉENNES : le programme des Républicains (François-Xavier Bellamy),TF1 INFO,0,0,1,0,0,1,1,0
"HENRY DE LESQUEN - BELLAMY, ROI DES CANDAULES",Le Figaro,0,0,1,0,0,1,1,0
"J ai décidé d accorder mon parrainage à Éric Zemmour , annonce François-Xavier Bellamy (LR)",Touche pas à mon poste !,0,0,1,0,0,1,1,0
Blocages à Sciences Po : François-Xavier Bellamy invité de Cyril HANOUNA,RMC,0,0,1,0,0,1,1,0
BELLAMY / GLUCKSMANN : LE VRAI DÉBAT EUROPÉEN,Le Figaro,0,0,1,0,0,1,1,0
Lutte contre l immigration illégale : Un scandale démocratique révoltant,Le Figaro,0,0,1,0,0,1,1,0
"Trois ans après le grand emprunt européen, toutes nos alertes se confirment.",François-Xavier Bellamy,0,0,1,0,0,1,1,0
"La complicité avec l islamisme, à visage découvert.",François-Xavier Bellamy,0,0,1,0,0,1,1,0
Le jour est arrivé où il faut maintenant tenter de sauver Noël..,François-Xavier Bellamy,0,0,1,0,0,1,1,0
On a voulu faire entrer tous les opposants au #PassSanitaire dans le camp d une espèce de déraison,François-Xavier Bellamy,0,0,1,0,0,1,1,0
"Je suis révolté que certains s en prennent aux messagers, pour ne pas écouter le message.",François-Xavier Bellamy,0,0,1,0,0,1,1,0
Nous regardons un gouvernement qui danse au bord de l abîme,François-Xavier Bellamy,0,0,1,0,0,1,1,0
Grand jury - Européennes 2024 : le grand débat | Évènement - 05/05/2024,LCP - Assemblée nationale,0,0,0,0,0,1,1,0
"Mineurs délinquants, Russie, Sciences Po… lintégralité de linterview de Marine Le Pen",BFMTV,1,0,0,0,0,1,0,0
Franz-Olivier Giesbert sur Emmanuel Macron : « C’est la génération TPMG : tout pour ma gueule »,Europe 1,0,0,0,0,0,1,0,0
Le résumé de Real Madrid / Bayern Munich - Ligue des Champions 2023-24 (1/2 finale retour),CANAL+ Sport,0,0,0,0,0,0,0,1
Je suis inquiet de la dérive de Sciences Po: linterview en intégralité dAlain Finkielkraut,BFMTV,0,0,0,0,0,1,0,0
Dissolution : Marion Maréchal accuse Bardella de mentir aux Français,Public Sénat,1,0,0,0,0,1,1,0
Le Grand Jury - Européennes : le grand débat (lintégrale),RTL,0,0,0,0,0,1,1,0
Des troupes russes massées aux frontières nord-est,LCI,0,0,0,0,0,0,0,1
Européennes: le premier débat entre Jordan Bardella et Valérie Hayer en intégralité,BFMTV,1,0,0,0,1,1,1,0
Débat des européennes : tous contre Bardella,Public Sénat,0,0,0,0,0,1,1,0
Européennes: suivez le grand débat entre Jordan Bardella et Manuel Valls,Le Figaro,1,0,0,1,0,1,1,0
Européennes: le premier débat entre Jordan Bardella et Valérie Hayer en intégralité,BFMTV,1,0,0,0,1,1,1,0
"Mathilde Panot/Marion Maréchal, le débat",BFMTV,1,1,0,0,0,1,1,0
Emmanuel Macron/Marine Le Pen : qui a fait la meilleure campagne ?,Touche pas à mon poste !,1,0,0,0,1,1,0,0
Élections européennes : le débat entre Marion Maréchal (Reconquête) et Valérie Hayer (Renaissance),Europe 1,1,0,0,0,1,1,1,0
Mélenchon-Zemmour: revoir leur débat en intégralité,BFMTV,1,1,0,0,0,1,0,0
"Replay du débat dEmmanuel Macron et Marine Le Pen, en intégrale",TF1 INFO,1,0,0,0,1,1,0,0
Grand jury - Européennes 2024 : le grand débat | Évènement - 05/05/2024,LCP - Assemblée nationale,0,0,0,0,0,1,1,0
Commandos Marines : limpitoyable sélection,Investigations et Enquêtes,0,0,0,0,0,0,0,1
"Mineurs délinquants, Russie, Sciences Po… lintégralité de linterview de Marine Le Pen",BFMTV,1,0,0,0,0,0,1,0
"Mathilde Panot/Marion Maréchal, le débat",BFMTV,1,1,0,0,0,1,0,0
Tariq Ramadan - On n’est pas couché 26 septembre 2009 #ONPC,On nest pas couché,0,0,0,0,0,0,0,1
"Poutine, la haine de lOccident",BFMTV,0,0,0,0,0,1,0,0
Dieudonné La politique (La Polémique de la polinique) 2017,Ermite Pas net,0,0,0,0,0,1,0,0
Lhistoire complète et sans censure de TCHERNOBYL,100% DOCS,0,0,0,0,0,0,0,1
La F****ing Disgrace décryptée par Drogba – Chelsea FC vs. Barcelone 2009 – Ligue des Champions,CANAL+ Sport,0,0,0,0,0,0,0,1
Pablo Escobar: the king of cocaine,Investigations et Enquêtes,0,0,0,0,0,0,0,1
"Corée du Nord, Gérard Depardieu, Sciences Po... Yann Moix est linvité du Face à Face",BFMTV,0,0,0,0,0,1,0,0
Le résumé de Real Madrid / Bayern Munich - Ligue des Champions 2023-24 (1/2 finale retour),CANAL+ Sport,0,0,0,0,0,0,0,1
Mélenchon-Zemmour: revoir leur débat en intégralité,BFMTV,1,1,0,0,0,1,0,0
"Éric Naulleau, auteur dun livre sur Jean-Luc Mélenchon, face aux GG",RMC,0,1,0,0,0,1,0,0
Éric Zemmour face à Jean-Luc Mélenchon chez Cyril Hanouna,Éric Zemmour,1,1,0,0,0,1,0,0
Clash : Gilles Verdez assume de vouloir voter pour Jean-Luc Mélenchon !,Touche pas à mon poste !,0,1,0,0,0,1,0,0
Face-à-face J-L Mélenchon / Valérie Pécresse - LEmission politique - 23 février 2017 (France 2),L’Emission politique,0,1,1,0,0,1,0,0
Vinicius ballon dor: Mbappé doit venir au Real pour gagner la LDC Bellingham montrueux Joselu,Black Yankee HT,0,0,0,0,0,0,0,1
Européennes : quelles sont les intentions de vote à un mois des élections ?,Sud Radio,0,0,0,0,0,1,1,0
"MAKING OF (#10) du Pire Gendre Leslie, l’épisode le plus fou de notre chaîne !",Greg Guillotin,0,0,0,0,0,0,0,1
"Au meeting de Valérie Hayer, les militants concernés par la dynamique Glucksmann",Le Huffington Post,0,0,0,1,1,1,1,0
Hidden Camera: The Worst Birthday (feat Catherine Benguigui),Greg Guillotin,0,0,0,0,0,0,0,1
Européennes J-30 : le point de vue de Jérôme Fourquet,Le Figaro,0,0,0,0,0,1,1,0
"Élections européennes : en France, une percée du RN inquiète le parti dEmmanuel Macron",euronews (en français),1,0,0,0,1,1,1,0
Jean Messiha comme vous ne l’avez jamais vu !,Côte à Côte,1,0,0,0,0,1,0,0
Il roule à 172 km/h sur une route à 110 km/h 😱,Alerte Secours,0,0,0,0,0,0,0,1
24 Heures dans lULTRALUXE Parisien,100% DOCS,0,0,0,0,0,0,0,1
"En Allemagne, une méga-mine de charbon sétend et engloutit des villages",Le Parisien,0,0,0,0,0,0,0,1
Les Japonais ne font plus LAMOUR et cest un PROBLÈME...,Immersion ▸ reportages et documentaires,0,0,0,0,0,0,0,1
Heart - Stairway to Heaven Led Zeppelin - Kennedy Center Honors HD,GSMF Racing,0,0,0,0,0,0,0,1
BGT BEATBOX GOLDEN BUZZER Britain’s Got Talent Audition - Pyramids (Loopstation) - MB14,MB14,0,0,0,0,0,0,0,1
TOP 80 GREATEST GUITAR INTROS,Paul Davids,0,0,0,0,0,0,0,1
alyona alyona & Jerry Heil - Teresa & Maria (LIVE) | Ukraine 🇺🇦 | First Semi-Final | Eurovision 2024,Eurovision Song Contest,0,0,0,0,0,0,0,1
Francis Cabrel - Les tutos guitare (Episode 2 : La cabane du pêcheur),Francis Cabrel,0,0,0,0,0,0,0,1
MAYADORABLE BALANCE SON FRIGO ! (je découvre des trucs.... Beanz ? Gravy ?) ft. @Mayadorable,Juju Fitcats,0,0,0,0,0,0,0,1
Résumé Lille - OL | Ligue 1 J32 | Olympique Lyonnais,Olympique Lyonnais,0,0,0,0,0,0,0,1
Jai pris en main les nouveaux iPad Pro OLED 2024 !,TheiCollection,0,0,0,0,0,0,0,1
Mylène Farmer - Nevermore Le Film (Teaser # 1),Mylène Farmer,0,0,0,0,0,0,0,1
Apple Event - May 7,Apple,0,0,0,0,0,0,0,1
"PSG 0-1 Dortmund | Kylian Mbappé Est Un Menteur ! (Yungsteph, Coup De Gueule)",PSGfanTV,0,0,0,0,0,0,0,1
CACHE-CACHE ÉDITION CAMOUFLAGE EXTRÊME  #4,Amixem,0,0,0,0,0,0,0,1
“On a été fâchés presque deux ans” : Laurent Ruquier revient sur sa brouille avec Christine Bravo,DegreeBridge,0,0,0,0,0,0,0,1
Kelly Vedovelli est devenue célèbre grâce à une PHOTO avec Hervé Mathoux.,Touche pas à mon poste !,0,0,0,0,0,0,0,1
Artus invité de On Refait La Télé (lintégrale),RTL,0,0,0,0,0,0,0,1
"Bad Romance - LOL : Qui rit, sort ! Saison 4 | Prime Video",Amazon Prime Video France,0,0,0,0,0,0,0,1
Apple Event - May 7,Apple,0,0,0,0,0,0,0,1
Le Comte de Monte-Cristo - Bande-annonce Officielle 4K,Pathe,0,0,0,0,0,0,0,1
"[2015 MAMA] PSY - GANGNAM STYLE (2012 MAMA, SONG OF THE YEAR) 151127 EP.4",Mnet K-POP,0,0,0,0,0,0,0,1
Le Pire Stagiaire agent matrimonial (rencontres amoureuses) en Belgique - Version longue,Greg Guillotin,0,0,0,0,0,0,0,1
Jai pris en main les nouveaux iPad Pro OLED 2024 !,TheiCollection,0,0,0,0,0,0,0,1
"Carte Joker de Jérôme Commandeur - LOL : Qui rit, sort ! Saison 4 | Prime Video",Amazon Prime Video France,0,0,0,0,0,0,0,1
PSG 0-1 Dortmund : Le débrief de lélimination du Paris Saint-Germain,L'ÉQUIPE,0,0,0,0,0,0,0,1
Le Comte de Monte-Cristo - Bande-annonce Officielle 4K,Pathe,0,0,0,0,0,0,0,1
Résumé Lille - OL | Ligue 1 J32 | Olympique Lyonnais,Olympique Lyonnais,0,0,0,0,0,0,0,1
Live at Met Gala 2024 With Vogue,Vogue,0,0,0,0,0,0,0,1
jai acheté LES PIRES colis mystères de GAMER,CYRILmp4,0,0,0,0,0,0,0,1
Elle affiche... SES PARENTS ! 🤣,Thomas Angelvy,0,0,0,0,0,0,0,1
Les meilleures Blagues de Tonton 🤣 | VTEP | Best OF,Vendredi Tout Est Permis,0,0,0,0,0,0,0,1
5 THÉORIES SUR BATMAN (#114),Didi,0,0,0,0,0,0,0,1
Aya Nakamura aux JO : les héritières de Piaf valident - La Story - C à Vous - 27/03/2024,C à vous,0,0,0,0,0,0,0,1
