,Le Pen_Polls,Macron_Polls,Mélenchon_Polls,Pécresse_Polls,Zemmour_Polls
2022-03-07,0.1747876329835787,0.28252811344558615,0.11394318189611331,0.13478004438126442,0.12866234092525916
2022-03-08,0.17330439683197518,0.2892044982852363,0.1137208786891162,0.13214520473111865,0.12515286570660025
2022-03-09,0.17279419275034252,0.2939639735038952,0.11309988743547192,0.12971226012470466,0.12326656833050696
2022-03-10,0.17303077145825882,0.2972609101129337,0.11274350284341852,0.12689303052203557,0.12191685647124095
2022-03-11,0.1748953823953824,0.2991612554112554,0.11279329004329004,0.12452813852813852,0.12099458874458875
2022-03-12,0.17249999999999996,0.30160714285714285,0.11370238095238094,0.12076190476190475,0.1229642857142857
2022-03-13,0.17500000000000002,0.30374999999999996,0.1126309523809524,0.11576190476190476,0.11975
2022-03-14,0.17458333333333334,0.30357142857142855,0.11370238095238094,0.11332142857142857,0.11975000000000001
2022-03-15,0.17529761904761904,0.30249999999999994,0.11388095238095237,0.11207142857142857,0.12010714285714286
2022-03-16,0.17499149659863944,0.3016836734693878,0.11549319727891157,0.11005102040816327,0.1199234693877551
2022-03-17,0.17356292517006802,0.30085034013605444,0.11733843537414966,0.10856292517006802,0.12004251700680271
2022-03-18,0.1716581632653061,0.3001360544217687,0.1194812925170068,0.10808673469387756,0.12004251700680271
2022-03-19,0.17237244897959186,0.3001360544217687,0.12090986394557823,0.10665816326530612,0.11647108843537414
2022-03-20,0.17058673469387756,0.29799319727891155,0.12483843537414965,0.10915816326530613,0.116828231292517
2022-03-21,0.17189625850340137,0.2964455782312925,0.12781462585034015,0.10951530612244897,0.11456632653061224
2022-03-22,0.17314625850340135,0.29412414965986394,0.13085034013605443,0.10987244897959184,0.11278061224489795
2022-03-23,0.1761904761904762,0.29196428571428573,0.13285714285714284,0.10946428571428571,0.11077380952380952
2022-03-24,0.17947619047619048,0.28975,0.13510714285714284,0.10914285714285714,0.10898809523809525
2022-03-25,0.18423809523809526,0.28736904761904764,0.13605952380952382,0.10890476190476191,0.10708333333333332
2022-03-26,0.18566666666666665,0.28451190476190474,0.13820238095238094,0.10890476190476191,0.10708333333333332
2022-03-27,0.18816666666666665,0.2823690476190476,0.13927380952380952,0.1064047619047619,0.10708333333333332
2022-03-28,0.19045238095238096,0.2810595238095238,0.14051190476190475,0.1058095238095238,0.10720238095238095
2022-03-29,0.19283333333333333,0.2794523809523809,0.14223809523809522,0.10461904761904761,0.10773809523809523
2022-03-30,0.19452380952380952,0.2785714285714286,0.14419047619047617,0.10419047619047618,0.1075
2022-03-31,0.19679092581238505,0.2773210709176374,0.1465892090741876,0.10220989168199468,0.10741927243000204
2022-04-01,0.19836235438381358,0.27674964234620886,0.14901778050275905,0.09925751072961372,0.1072764152871449
2022-04-02,0.20336235438381361,0.2731782137747803,0.15044635193133044,0.10068608215818516,0.10513355814428775
2022-04-04,0.20805623193483402,0.27277005050947417,0.15207900499255494,0.09956363317859332,0.10334784385857346
2022-04-05,0.21160385098245307,0.2711033838428075,0.15357900499255495,0.09682553794049809,0.10203832004904966
2022-04-06,0.21531511704518944,0.270911202549406,0.1567076783462733,0.09324677456877613,0.09961240629487025
2022-04-07,0.21845797418804658,0.2683397739779774,0.15942196406055903,0.09124677456877613,0.09732669200915597
2022-04-08,0.22157861300151185,0.2668554377542175,0.162247720972766,0.09000286928133926,0.09516252161997026
2022-04-09,,,,,
2022-04-10,,,,,
